"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2019","42,947.55","42,893.38","43,113.28","42,823.70","171.67M","0.28%"
"Mar 26, 2019","42,826.16","42,695.75","43,013.82","42,679.42","151.61M","0.29%"
"Mar 25, 2019","42,703.38","42,292.69","42,757.79","42,276.04","147.39M","0.97%"
"Mar 22, 2019","42,292.16","43,052.28","43,076.12","42,132.30","153.03M","-2.22%"
"Mar 21, 2019","43,251.19","43,121.90","43,362.91","42,851.91","154.66M","0.22%"
"Mar 20, 2019","43,156.21","42,389.60","43,250.61","42,231.19","221.58M","1.83%"
"Mar 19, 2019","42,378.61","42,431.76","42,745.49","42,217.09","215.24M","0.40%"
"Mar 15, 2019","42,210.46","41,810.09","42,309.97","41,798.95","589.12M","1.04%"
"Mar 14, 2019","41,777.81","41,935.91","41,982.02","41,469.92","137.48M","-0.37%"
"Mar 13, 2019","41,932.56","41,836.31","42,026.64","41,795.01","154.70M","0.46%"
"Mar 12, 2019","41,740.62","41,878.37","42,174.26","41,558.16","132.50M","-0.32%"
"Mar 11, 2019","41,876.17","41,631.19","41,985.09","41,490.62","104.41M","0.70%"
"Mar 08, 2019","41,586.70","41,583.93","41,674.73","41,140.32","144.84M","-0.13%"
"Mar 07, 2019","41,641.84","41,911.53","42,008.47","41,523.92","148.10M","-0.64%"
"Mar 06, 2019","41,908.15","42,134.46","42,419.23","41,859.22","151.29M","-0.52%"
"Mar 05, 2019","42,128.91","42,367.92","42,425.09","42,099.86","130.71M","-0.68%"
"Mar 04, 2019","42,418.49","42,598.19","42,648.70","42,197.87","114.10M","-0.47%"
"Mar 01, 2019","42,619.23","42,947.71","43,021.91","42,291.94","129.22M","-0.48%"
"Feb 28, 2019","42,823.81","43,267.74","43,355.39","42,550.09","303.93M","-1.13%"
"Feb 27, 2019","43,311.18","43,662.12","43,662.12","43,184.86","162.80M","-0.72%"
"Feb 26, 2019","43,623.33","43,647.42","43,724.34","43,445.91","180.61M","-0.09%"
"Feb 25, 2019","43,664.33","43,805.27","44,070.13","43,634.64","156.87M","-0.17%"
"Feb 22, 2019","43,738.66","43,583.28","44,001.22","43,571.77","141.54M","0.37%"
"Feb 21, 2019","43,577.64","43,161.04","43,633.48","43,003.39","157.41M","0.93%"
"Feb 20, 2019","43,178.00","42,997.04","43,345.86","42,997.04","176.18M","0.53%"
"Feb 19, 2019","42,949.50","43,003.41","43,320.52","42,803.88","133.31M","-0.07%"
"Feb 18, 2019","42,981.31","43,022.66","43,119.57","42,856.23","25.35M","-0.02%"
"Feb 15, 2019","42,988.72","42,810.13","43,035.53","42,677.39","136.41M","0.62%"
"Feb 14, 2019","42,725.22","42,364.99","42,780.89","42,066.08","190.64M","1.04%"
"Feb 13, 2019","42,284.06","43,138.51","43,194.25","42,202.96","201.34M","-1.92%"
"Feb 12, 2019","43,113.79","43,328.48","43,616.03","42,970.12","174.87M","-0.40%"
"Feb 11, 2019","43,285.17","43,126.04","43,471.87","43,108.50","103.61M","0.24%"
"Feb 08, 2019","43,180.45","43,576.70","43,620.29","43,116.56","115.06M","-1.02%"
"Feb 07, 2019","43,624.55","43,808.78","44,090.49","43,586.87","160.93M","-0.53%"
"Feb 06, 2019","43,855.79","44,391.71","44,495.02","43,808.83","190.01M","-1.09%"
"Feb 05, 2019","44,337.10","43,898.11","44,491.75","43,830.47","147.57M","1.37%"
"Feb 01, 2019","43,738.27","44,095.44","44,226.17","43,679.30","149.81M","-0.57%"
"Jan 31, 2019","43,987.94","43,668.54","44,190.28","43,600.01","189.88M","0.82%"
"Jan 30, 2019","43,631.36","43,734.33","43,915.15","43,084.45","180.49M","-0.16%"
"Jan 29, 2019","43,700.10","43,671.47","43,902.08","43,607.14","223.09M","0.17%"
"Jan 28, 2019","43,626.15","43,590.30","43,959.87","43,468.17","220.53M","-0.03%"
"Jan 25, 2019","43,638.62","43,603.12","44,051.76","43,436.95","170.41M","0.17%"
"Jan 24, 2019","43,566.11","43,738.64","43,856.29","43,420.38","172.81M","-0.26%"
"Jan 23, 2019","43,679.67","43,831.79","44,104.57","43,382.35","233.02M","-0.20%"
"Jan 22, 2019","43,768.08","44,066.30","44,073.24","43,602.83","186.12M","-0.59%"
"Jan 21, 2019","44,028.96","44,273.36","44,541.41","43,797.10","53.21M","-0.48%"
"Jan 18, 2019","44,241.54","44,024.91","44,507.40","43,995.48","197.35M","0.70%"
